sender_id,sender_name,sender_logo
ACBLBK,ABHYUDAYA CO OP BANK LTD,
ACBLHO,ARIHANT COOP BANK LTD,
ACCBNK,THE ANANTNAG CENTRAL COOPERATIVE BANK LTD,
ACEPLC,STATE BANK OF INDIA,sbi_logo
ADARSH,THE ADARSH CO OPERATIVE URBAN BANK LTD,
ADBCCB,THE ADILABAD DISTRICT COOPERATIVE CENTRAL BANK LTD. ADILABAD,
ADHBNK,THE ADARSH CO OPERATIVE URBAN BANK LTD,
ADINBK,Shri Adinath Co Op bank Ltd. Ichalkaranji,
ADRBNK,ADARSH COOPERATIVE BANK LTD,
AEITSM,American Express Banking Corp.,amex_logo
AGMITS,STATE BANK OF INDIA,sbi_logo
AGRABK,AGRA ZILA SAHKARI BANK LTD.,
AGVBNK,United Bank Of India,
AGVCBS,United Bank Of India,
AIRBNK,Airtel Payments Bank Limited,
AIRBSE,Airtel Payments Bank Limited,
AIRBSI,Airtel Payments Bank Limited,
AJUSBJ,DR APPASAHEB URF SA RE PATIL JAYSINGPURUDGAON SAH BANK LTD,
AKHAND,AKHAND ANAND CO OPERATIVE BANK LIMITED,
AKOLAB,THE AKOLA URBAN COOP BANK LTD,
ALBANK,Allahabad Bank,
ALMABK,ALMORA ZILA SAHKARI BANK LTD,
ALMORA,ALMORA ZILA SAHKARI BANK LTD,
ALVIBK,ALAVI CO OPERATIVE BANK LIMITED,
ALYBNK,THE ALWAYE URBAN COOPERATIVE BANK LTD,
AMBUJA,GUJARAT AMBUJA CO OPERATIVE BANK LTD,
AMCBNK,The Ahmedabad Mercantile Co Op Bank Ltd,
AMCOBK,The Ahmedabad Mercantile Co Op Bank Ltd,
AMEXBK,American Express Banking Corp.,amex_logo
AMEXBP,American Express Banking Corp.,amex_logo
AMEXBT,American Express Banking Corp.,amex_logo
AMEXEP,American Express Banking Corp.,amex_logo
AMEXIN,American Express Banking Corp.,amex_logo
AMEXSR,American Express Banking Corp.,amex_logo
ANDBNK,ANDHRA BANK,
ANSBNK,AMRELI NAGARIK SAHKARI BANK LTD,
APCBNK,Ambajogai Peoples Co Op Bank Ltd Ambajogai,
APGBBK,ANDHRA PRAGATHI GRAMEENA BANK,
APGBHO,ANDHRA PRAGATHI GRAMEENA BANK,
APGBIT,ANDHRA PRAGATHI GRAMEENA BANK,
APGBNK,ANDHRA PRAGATHI GRAMEENA BANK,
APGECM,ANDHRA PRAGATHI GRAMEENA BANK,
APGVBK,ANDHRA PRADESH GRAMEENA VIKAS BANK,
APHOAT,ANDHRA PRAGATHI GRAMEENA BANK,
APNABK,Apna Sahakari Bank Ltd,
APNAPR,Apna Sahakari Bank Ltd,
APNATR,Apna Sahakari Bank Ltd,
APRBBK,ARUNACHAL PRADESH RURAL BANK,
APRBHO,ARUNACHAL PRADESH RURAL BANK,
APSCOB,The Andhra Pradesh State Cooperative Bank Ltd,
APSSBN,ADARSHA PATTANA SOUHARDA SAHAKARI BANK NIYAMITA,
APXBNK,ARUNACHAL PRADESH CO OPERATIVE APEX BANK LIMITED,
ASBALT,Syndicate Bank,
ASBANK,THE ANNASAHEB SAVANT CO OPERATIVE URBAN BANK MAHAD LIMITED,
ASCBNK,Associate CoOperative Bank Ltd.,
ASSBNK,Associate CoOperative Bank Ltd.,
ASSOBK,Associate CoOperative Bank Ltd.,
ATMMON,STATE BANK OF INDIA,sbi_logo
ATMMVS,STATE BANK OF INDIA,sbi_logo
ATMSBI,STATE BANK OF INDIA,sbi_logo
ATMSMS,STATE BANK OF INDIA,sbi_logo
ATMTAD,STATE BANK OF INDIA,sbi_logo
ATPCCB,The Anantapur District Cooperative Central Bank Ltd.,
AUBANK,AU SMALL FINANCE BANK LIMITED,
AUBMSG,AU SMALL FINANCE BANK LIMITED,
AUBSMS,AU SMALL FINANCE BANK LIMITED,
AUCBNK,THE AKOLA URBAN COOP BANK LTD,
AUDOST,AU SMALL FINANCE BANK LIMITED,
AUITSM,AU SMALL FINANCE BANK LIMITED,
AXISB,AXIS BANK LIMITED,axis_logo
AXISBK,AXIS BANK LIMITED,axis_logo
AXISHR,AXIS BANK LIMITED,axis_logo
AXISIN,AXIS BANK LIMITED,axis_logo
AXISMR,AXIS BANK LIMITED,axis_logo
AXISPR,AXIS BANK LIMITED,axis_logo
AXISSR,AXIS BANK LIMITED,axis_logo
AXPOPS,American Express Banking Corp.,amex_logo
AXPVPN,American Express Banking Corp.,amex_logo
AXSFI,AXIS BANK LIMITED,axis_logo
AXSFIN,AXIS BANK LIMITED,axis_logo
AZPSSB,The Amravati Zillha Parishad Shikshak Sahkari Bank Limited Amravati,
BANKIT,BANKIT SERVICES PRIVATE LIMITED,
BASAVA,SHRI BASAVESHWAR SAHAKARI BANK NIYAMIT BAGALKOT,
BASBNK,Bajiraoappa Sahakari Bank Ltd.Ankalkhop,
BASODA,BASODA NAGRIK SAHKARI BANK LTD,
BCCBBK,THE BHUJ COMMERCIAL CO OPERATIVE BANK LTD,
BCOBBK,The Bhagyodaya Co Op Bank Ltd,
BCRBNK,THE BADAGARA CO OPERATIVE RURAL BANK LTD,
BCUBNK,THE BALUSSERY CO OPERATIVE URBAN BANK LTD,
BDCCBK,Belagavi District Central Cooperative Bank Ltd Belagavi,
BDNSMS,BANDHAN BANK LIMITED,
BEGUBK,The Begusarai Central Cooprative Bank Limited,
BETDBK,The National Central Cooperative Bank Ltd,
BGVBNK,United Bank Of India,
BGVCBS,United Bank Of India,
BHABHR,THE BHABHAR VIBHAG NAGRIK SAHAKARI BANK LTD,
BHAGNI,BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE,
BHGINI,BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE,
BHRDBK,THE BIHAR STATE COOPERATIVE BANK LTD.,
BHUBNK,BHILWARA URBAN COOPERATIVE BANK LTD,
BHUJBK,THE BHUJ COMMERCIAL CO OPERATIVE BANK LTD,
BKDENA,Dena Bank,
BKPNSB,POORNAWADI NAGRIK SAHAKARI BANK MARYADIT BEED,
BMCBBK,THE BANASKANTHA MERCANTILE CO OP BANK LTD,
BMCBNK,THE BANASKANTHA MERCANTILE CO OP BANK LTD,
BMSHAB,THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD NANDED,
BMSNAN,THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD NANDED,
BNDNBK,BANDHAN BANK LIMITED,
BNDNHL,BANDHAN BANK LIMITED,
BNKBCB,THE BHARAT CO OPERATIVE BANK LTD,
BNSBKL,BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE,
BNSBL,BALASINOR NAGARIK SAHAKARI BANK LTD,
BNSBNK,SHREE BHAVNAGAR NAGRIK SAHAKARI BANK LTD.,
BOBBIZ,BANK OF BARODA,bob_logo
BOBBNK,BANK OF BARODA,bob_logo
